idx,fx1_X,fx0d5_X,fx1d5_X,fx2d5_X,fx3_X,fx5_X,fx7_X,fx1_Y,fx0d5_Y,fx1d5_Y,fx2d5_Y,fx3_Y,fx5_Y,fx7_Y,fx1_Z,fx0d5_Z,fx1d5_Z,fx2d5_Z,fx3_Z,fx5_Z,fx7_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.410021647747152,0.00994688054704248,0.0119672908806769,0.0157195134599303,0.0160527373765898,0.169868477167109,0.104946373356524,0.406931103751128,0.0108137000084868,0.0164916471941115,0.00872856923565825,0.0284186594383842,0.162967543344668,0.113913683104898,0.411647577495874,0.00935423956004727,0.0116339849344542,0.00807842496284912,0.0219252616227168,0.159625145547404,0.101865833446116,45,43.69,375,0.61,3.06010229129951,3.06875596976925,3.11962499613889,0,2
2,0.425844822230828,0.0293962909456423,0.029661554302411,0.0122284840311096,0.028760913036991,0.174873282081057,0.132331540069837,0.411334283972219,0.0294212148196881,0.0328655984689894,0.0154789314406704,0.0187792530623093,0.174491872942947,0.131915778438147,0.413857637356456,0.0246512288305309,0.0331594693466093,0.0169831780784167,0.0238763190681552,0.163756980407949,0.122112483038501,45,43.72,373,0.6,3.01260276218669,3.01980150265802,3.0734346124125,0,2
3,0.326049910486587,0.0102730203011561,0.00999523018326729,0.00864879937505243,0.0229647908806427,0.146797117398406,0.107523936260983,0.33461289617263,0.00865172842373055,0.0128646558005152,0.0115907428515427,0.0152627773983907,0.145123805877252,0.0968292885594069,0.335810781400005,0.0141205197384539,0.0202577960052624,0.0112552034654388,0.0201791801348813,0.140269218689746,0.105149669071852,45,43.75,371,0.59,2.97491165384897,2.98117116125416,3.03764478185331,0,2
4,0.393137451279154,0.0120609291260076,0.0226251062666554,0.0107468571571694,0.0262069066236402,0.172217520231352,0.115266660624434,0.427081767141916,0.00970393076992006,0.0198746134442765,0.0164090415976013,0.0214242288504568,0.168250354760074,0.125588723784092,0.390460419019014,0.0113493922533976,0.0185168947930097,0.0144042185283017,0.0229556931164457,0.163790650573387,0.118310858538574,45,43.78,369,0.58,2.92797939947505,2.93654633317086,2.99223375721583,0,2
5,0.444679796511012,0.0113090855471806,0.0126389251902865,0.00835865680021533,0.0311941153794411,0.172193276443357,0.149744787411484,0.425451287997359,0.0103770776933832,0.014436846585191,0.00656034666282434,0.0197547663630168,0.140116944068614,0.13521829188236,0.40906204036978,0.0125238869245719,0.0117316373065753,0.0093447274865573,0.0268256289045643,0.167360600175856,0.131955936358625,45,43.81,369,0.56,2.88087170435847,2.89043148056985,2.9467914147733,0,2
6,0.375746918910357,0.0119265988162212,0.0110418680046977,0.00798122726059949,0.0229588759674749,0.161743780502093,0.120331840586464,0.376767506186678,0.00754595690285099,0.0136112304683029,0.0143473138303943,0.0248708849421637,0.175165569675188,0.124702352383244,0.36315214597226,0.0105220381725822,0.0118335112013414,0.0135273869706436,0.022078742012907,0.16504894592017,0.118081029963676,45,43.84,365,0.55,2.84021628927595,2.84738616894099,2.90768741184272,0,2
7,0.410058998043197,0.011048848644046,0.0194380213006773,0.010149677061686,0.029009535983843,0.129815215588689,0.126774165514721,0.375171030475704,0.0103799223456655,0.0129055244244987,0.00748114934322624,0.0262300604802866,0.128808655910076,0.134427201950768,0.368746129509543,0.00837031590747841,0.0150700906195402,0.0108695876836673,0.0252214611923365,0.142329592965389,0.149021325530268,45,43.87,363,0.53,2.78583018660894,2.79250852267955,2.85373925200272,0,2
8,0.414505370420636,0.010524910069275,0.0146959458939096,0.0091781329182057,0.0198511945504187,0.170926832363817,0.12232592974787,0.416118837326425,0.0079613684149788,0.0137805392378183,0.00849657148287614,0.0209336322833848,0.169695146964166,0.121192006638993,0.412320921072343,0.0108854092074064,0.0136976692054115,0.00781728739401236,0.026843680117042,0.17412722820807,0.128840242731241,45,43.9,361,0.52,2.72704248514748,2.73417908790362,2.79488946959702,0,2
9,0.377764794970959,0.0066827397077993,0.0167249919866011,0.0147028526894341,0.0239021837446334,0.146516071888176,0.102975470274661,0.377409096989921,0.00991282627379192,0.0122469744262772,0.0194513603835936,0.0317536782528507,0.15971904753089,0.118094051953947,0.34962602042505,0.010767100268595,0.015263756836199,0.0187008781845022,0.0156549542083706,0.152210758602441,0.106701567666003,45,43.93,360,0.51,2.66955527269132,2.6776270562983,2.73766081788863,0,2
10,0.33507808954244,0.00663638980769772,0.0111164839348276,0.00989747047371234,0.0217211535931928,0.15868546264742,0.123171778439894,0.340826054311334,0.0116242258869378,0.0142063777223664,0.0105259153576315,0.0313098319878215,0.161718254088052,0.120037435769334,0.337678833034303,0.010765407743674,0.0136893998415249,0.00982154931974874,0.0271371445073659,0.162864110519646,0.117236105264991,45,43.96,356,0.49,2.6270939125737,2.63389617120402,2.69659095792118,0,2
