,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,63.6198,63.2605,63.3337,63.6198,2.1175,3.8517,1.6838,3.36,1.6366,7.5147
HOS_mlp,89.7351,89.7413,89.9398,89.7351,0.1008,0.0,0.0908,0.0,1.808,4.4386
SCM_mlp,79.9248,79.9401,80.0292,79.9248,0.0,0.0467,0.0,0.042,1.7492,4.2162
FOURIER_svm,53.4302,51.9167,52.1317,53.4302,2.0833,8.9808,1.8852,8.0198,75.1861,7.5147
HOS_svm,80.5981,80.2731,82.4659,80.5981,0.0,0.0933,0.0,0.07,48.0736,4.4386
SCM_svm,66.416,66.098,67.0591,66.416,0.235,1.1817,0.2115,0.9298,55.1097,4.2162
FOURIER_knn,55.0148,54.0337,54.8219,55.0148,1.58,8.4517,1.2815,7.2017,39.818,7.5147
HOS_knn,79.3888,79.2565,79.5494,79.3888,0.0,0.8417,0.0,0.602,27.0348,4.4386
SCM_knn,63.1636,62.0797,63.2977,63.1636,0.6392,5.4183,0.6358,4.4442,33.3169,4.2162
FOURIER_naive_bayes,26.109,21.8147,25.9493,26.109,3.4608,43.2517,2.9632,44.7832,0.8894,7.5147
HOS_naive_bayes,41.2884,39.6187,42.5209,41.2884,4.7708,13.7008,3.6992,13.6352,0.779,4.4386
SCM_naive_bayes,26.8677,25.4044,26.3535,26.8677,9.2733,8.3508,7.9025,8.119,0.8972,4.2162
